id,date,day,month,year,day_of_week,is_weekend
fc02cd7b-df27-4e77-b7a3-bd55cd8e85fe,2014-09-03,3,9,2014,Wednesday,False
9bb9842a-68d6-4e1c-834d-a20fdffc34db,2014-09-04,4,9,2014,Thursday,False
08d535ab-bd36-4b15-b503-75b682d55f58,2014-09-05,5,9,2014,Friday,False
ac8327d9-f43c-4ce2-87eb-5f3efc426853,2014-09-06,6,9,2014,Saturday,True
19b79910-dbec-4c8e-80cb-ad9530b837af,2014-09-07,7,9,2014,Sunday,True
cfe89068-92a4-458f-a5a0-11213fa4a97b,2014-09-08,8,9,2014,Monday,False
909fd388-aa6f-4b32-976e-430f110c8de9,2014-09-09,9,9,2014,Tuesday,False
0b69de53-d24f-48b1-a156-f2e7f347dc09,2014-09-10,10,9,2014,Wednesday,False
31c309bc-59fe-486e-8c5b-5e72ba37c77a,2014-09-11,11,9,2014,Thursday,False
41f4e2a5-464f-416f-a8e7-d3a7eb55f9ca,2014-09-12,12,9,2014,Friday,False
449d9b3c-a388-4464-a2e7-3ed3bc690621,2014-09-13,13,9,2014,Saturday,True
32084e3a-c469-4bb2-814b-e90a17afb0ba,2014-09-14,14,9,2014,Sunday,True
eeef9dab-5f1a-4de9-bd97-ca4e12dc088b,2014-09-15,15,9,2014,Monday,False
4a6e81ab-971d-4ea1-8f47-be855fccb1f6,2014-09-16,16,9,2014,Tuesday,False
e33fe4f2-f33a-4386-af17-85bc8f73fc92,2014-09-17,17,9,2014,Wednesday,False
1686afbe-a1d2-426e-8ea1-12036662b8b1,2014-09-18,18,9,2014,Thursday,False
1040eef5-76f9-4eb4-abb2-fb24f55b1fcf,2014-09-19,19,9,2014,Friday,False
f24acb75-306e-42db-8959-dc6f94be7c64,2014-09-20,20,9,2014,Saturday,True
4be3280a-8e09-4f7b-9832-5f0eb51b983a,2014-09-21,21,9,2014,Sunday,True
b9cd87ab-cc8b-45b9-a190-e165521bbc9e,2014-09-22,22,9,2014,Monday,False
446eb528-8003-445d-9704-c0bccb87e48b,2014-09-23,23,9,2014,Tuesday,False
d088268d-2ed9-4f6e-95b2-a673bb9689a6,2014-09-24,24,9,2014,Wednesday,False
738eab1b-2ee5-4359-aeba-8aa65b2f4463,2014-09-25,25,9,2014,Thursday,False
17106c65-0ff6-4dd2-8be2-b336b959868b,2014-09-26,26,9,2014,Friday,False
9c01d825-c2c5-4e51-93ab-d3a816fdbea2,2014-09-27,27,9,2014,Saturday,True
1c3f1efd-32a7-408c-a7c6-fc72bdc52703,2014-09-28,28,9,2014,Sunday,True
254c524c-bcc8-43c6-a251-cdb8f44264d8,2014-09-29,29,9,2014,Monday,False
5ae6bf49-f8b6-4289-b267-26f8c364fdca,2014-09-30,30,9,2014,Tuesday,False
6b4684b5-2856-42e3-97ac-fc3d8dbb86fd,2014-10-01,1,10,2014,Wednesday,False
8c369246-cbb7-4c74-9dcb-c5bc7ab2a2ff,2014-10-02,2,10,2014,Thursday,False
9e283ab7-bd7e-4df1-8e7f-0f68ec8b01d6,2014-10-03,3,10,2014,Friday,False
d25960ce-36dd-473f-94a4-0b241778d03f,2014-10-04,4,10,2014,Saturday,True
0de02ee6-29c9-4cf6-998c-ff30b382a115,2014-10-05,5,10,2014,Sunday,True
53bee003-84ac-4b17-9f7f-2956a26f9046,2014-10-06,6,10,2014,Monday,False
1d1b8f25-e187-45d1-8d40-58e18ed4276d,2014-10-07,7,10,2014,Tuesday,False
d7376607-4e15-476c-8f59-7e9c3b192df6,2014-10-08,8,10,2014,Wednesday,False
35e502ea-c424-4d3b-993c-dff542ff89ee,2014-10-09,9,10,2014,Thursday,False
8dab5694-95b0-4c0a-b954-8c5d41f4bbd4,2014-10-10,10,10,2014,Friday,False
3a15634b-0e2f-43e1-8781-c617c5760260,2014-10-11,11,10,2014,Saturday,True
e6d9bf08-1391-4f5c-a398-0c643d71aec0,2014-10-12,12,10,2014,Sunday,True
5bf8de86-91a1-4a7b-b15c-ed828b3d2065,2014-10-13,13,10,2014,Monday,False
fe37ccf3-cf51-4e23-bf52-d802ebeeb9ac,2014-10-14,14,10,2014,Tuesday,False
757b2e34-5b2f-4e75-97a3-8630c1e352be,2014-10-15,15,10,2014,Wednesday,False
38e77331-eaa3-4196-93fb-7a427736dcc4,2014-10-16,16,10,2014,Thursday,False
9e4cc990-3a8f-4808-9ec8-fa294e5cd9a7,2014-10-17,17,10,2014,Friday,False
f3715e0b-3bf5-4bc2-a893-d330f156827c,2014-10-18,18,10,2014,Saturday,True
80534cff-047c-424f-a33a-0e22e85fdc11,2014-10-19,19,10,2014,Sunday,True
5d6a5dbf-5352-4f90-b2b0-da808114113e,2014-10-20,20,10,2014,Monday,False
a056385e-82c4-498c-948d-e058fe969131,2014-10-21,21,10,2014,Tuesday,False
25e2e054-0197-44cd-ba3e-39088610e08a,2014-10-22,22,10,2014,Wednesday,False
18e32f8a-5046-49fd-8768-1c736873a9ef,2014-10-23,23,10,2014,Thursday,False
4cd616b0-ba69-4dd0-8a92-53e48e679a88,2014-10-24,24,10,2014,Friday,False
f1c163f1-4847-42d7-b9cf-8aaef8f04429,2014-10-25,25,10,2014,Saturday,True
0a94ee74-96e4-40f5-bf40-2aaad5e604c1,2014-10-26,26,10,2014,Sunday,True
a8b8bd3e-4a57-4224-8962-f9df7565fa33,2014-10-27,27,10,2014,Monday,False
142155ef-1cc8-4903-9411-76eadbe6f45a,2014-10-28,28,10,2014,Tuesday,False
254f57a7-1825-48d8-a30e-16e088f55d32,2014-10-29,29,10,2014,Wednesday,False
32d36375-a751-4a28-af64-e4b7fd6bbf2b,2014-10-30,30,10,2014,Thursday,False
7db70ee8-251c-4901-9a44-98012b1ebf11,2014-10-31,31,10,2014,Friday,False
3ce5dd53-08d9-48f5-9b56-33c8cde3c86b,2014-11-01,1,11,2014,Saturday,True
9c8328e2-d8d5-461c-88b8-e4d94fe7bbf6,2014-11-02,2,11,2014,Sunday,True
4e3d4006-17fc-4e42-80c6-aefd78526061,2014-11-03,3,11,2014,Monday,False
5c7aed25-f8c4-41f1-ad7f-c140ad07dd1b,2014-11-04,4,11,2014,Tuesday,False
d92bb4f7-ac3e-4ee2-858d-37941c75de95,2014-11-05,5,11,2014,Wednesday,False
24ead01c-9521-403c-8942-869e6058c5d7,2014-11-06,6,11,2014,Thursday,False
f261e50d-fd4b-4d67-bb0f-fa0334ec9845,2014-11-07,7,11,2014,Friday,False
e30b85fe-f568-4e08-b535-47d5e3099ea1,2014-11-08,8,11,2014,Saturday,True
6787160f-e734-4bf9-96a7-eb0a96514fb2,2014-11-09,9,11,2014,Sunday,True
68b90c91-f1c1-415c-8db6-95ad97600c72,2014-11-10,10,11,2014,Monday,False
1a917ac7-bdf7-4172-b787-cecb2fdad208,2014-11-11,11,11,2014,Tuesday,False
bb44574a-0b9a-4071-9841-4a09e9096024,2014-11-12,12,11,2014,Wednesday,False
59b68413-8118-4499-8124-19071a6291b8,2014-11-13,13,11,2014,Thursday,False
c236ad34-046c-4a86-a78d-f11a7a209628,2014-11-14,14,11,2014,Friday,False
785a2dfd-dc7b-44d0-837e-4a64c9957a39,2014-11-15,15,11,2014,Saturday,True
724c58b1-590b-4d05-b650-d8d7c8602bd7,2014-11-16,16,11,2014,Sunday,True
fa3505a9-567d-4279-8828-2177e63f3e71,2014-11-17,17,11,2014,Monday,False
11812ac1-9cf4-4b2d-a26f-d2fd8f3f0f43,2014-11-18,18,11,2014,Tuesday,False
64152e0d-94ef-42e9-b451-23d45bc7169c,2014-11-19,19,11,2014,Wednesday,False
e4256191-a636-4a78-9fb5-817ae97a98fb,2014-11-20,20,11,2014,Thursday,False
431dfdc0-8639-4590-a466-d2e1d58ed4cf,2014-11-21,21,11,2014,Friday,False
03e906f6-b48a-4bb6-9a91-be05cd606dec,2014-11-22,22,11,2014,Saturday,True
b2c0c435-24c1-4c54-92f5-e67971c85d6f,2014-11-23,23,11,2014,Sunday,True
c8dc0928-2de6-486b-86ee-ff60e3b69ffc,2014-11-24,24,11,2014,Monday,False
1ff03dcd-02f0-4f6d-8ef8-d893bdcdcb57,2014-11-25,25,11,2014,Tuesday,False
ba402ba0-2f05-459d-a9d6-3606e7c6ab68,2014-11-26,26,11,2014,Wednesday,False
adc8c56e-8416-41fe-ba30-8f58b9914762,2014-11-27,27,11,2014,Thursday,False
c9e0b289-f27c-4e22-aa20-a05f7b44f18c,2014-11-28,28,11,2014,Friday,False
afc5d5c2-c775-4c11-9d14-672160cf0bfa,2014-11-29,29,11,2014,Saturday,True
8274d784-ed32-40b4-8b0f-2839f8d8a8da,2014-11-30,30,11,2014,Sunday,True
f4c56656-36b8-4d67-bc30-9ae1592e792c,2014-12-01,1,12,2014,Monday,False
54f4f7b2-d446-44fd-9c7b-8a0bf262d19b,2014-12-02,2,12,2014,Tuesday,False
e1a66c1b-b34b-4b08-ac84-02cc9ce01c75,2014-12-03,3,12,2014,Wednesday,False
0e1c7ae0-3498-423e-ae7f-b58ca2eb2107,2014-12-04,4,12,2014,Thursday,False
1ded8bb0-885c-43ab-b12f-8f9418a99a7b,2014-12-05,5,12,2014,Friday,False
6f1a1072-1abd-4a3a-978e-4f0930bc8ea7,2014-12-06,6,12,2014,Saturday,True
0f0e2c12-7cb3-4dda-8f96-7ba7a96e8215,2014-12-07,7,12,2014,Sunday,True
68d2b6d5-0043-426c-a6f3-a2dcd96378d6,2014-12-08,8,12,2014,Monday,False
